PSQ,Irrep,Level Index,Level Key,E_cm (observed),Sigma,Nearest Free E_cm,Difference (obs - free),Physical πΣ Level?
PSQ0,G1g,0,ecm_0,0.36032288852508604,0.001899468230427839,0.63718,-0.27685711147491393,NO
PSQ0,G1g,2,ecm_2,0.5124263610566975,0.003545272725325303,0.63718,-0.12475363894330249,NO
PSQ0,G1g,1,ecm_1,0.5126839790746371,0.0019519939150347437,0.63718,-0.12449602092536283,NO
PSQ0,G1g,3,ecm_3,0.6481034103445726,0.018465911213095657,0.63718,0.01092341034457267,NO
PSQ0,G1g,4,ecm_4,0.6534136075871837,0.0093077598287988,0.63718,0.01623360758718373,NO
PSQ0,G1u,0,ecm_0,0.4408204784621704,0.0020823720528374617,0.63718,-0.1963595215378296,NO
PSQ0,G1u,1,ecm_1,0.4637952031033992,0.0024916114334954855,0.63718,-0.17338479689660075,NO
PSQ0,G1u,2,ecm_2,0.4790521950364293,0.0038186426774479824,0.63718,-0.15812780496357065,NO
PSQ0,G1u,3,ecm_3,0.5024215500189191,0.003325514896916106,0.63718,-0.13475844998108089,NO
PSQ0,G1u,4,ecm_4,0.5311565216620975,0.009668674556169453,0.63718,-0.10602347833790249,NO
PSQ0,G1u,5,ecm_5,0.5553477715000322,0.005229117815218876,0.63718,-0.08183222849996774,NO
PSQ0,G1u,6,ecm_6,0.5625446569251197,0.005635859474961389,0.63718,-0.07463534307488029,NO
PSQ0,G1u,7,ecm_7,0.7582694056640844,0.03851559558239153,0.76276743,-0.004498024335915618,NO
PSQ0,Hu,1,ecm_1,0.5119925165324227,0.003529134129855132,0.63718,-0.12518748346757724,NO
PSQ0,Hu,0,ecm_0,0.5122018430106039,0.0019023064424835137,0.63718,-0.12497815698939607,NO
PSQ0,Hu,2,ecm_2,0.5235471346896429,0.0036975886838668216,0.63718,-0.1136328653103571,NO
PSQ1,G1,0,ecm_0,0.36071665371789563,0.0018741736771611813,0.64087747,-0.2801608162821043,NO
PSQ1,G1,1,ecm_1,0.4430423681682664,0.002073480814997716,0.64087747,-0.19783510183173353,NO
PSQ1,G1,2,ecm_2,0.46525475878612055,0.00398434348195261,0.64087747,-0.1756227112138794,NO
PSQ1,G1,3,ecm_3,0.48095076852884466,0.003405238267972505,0.64087747,-0.15992670147115529,NO
PSQ1,G1,4,ecm_4,0.48630411888371355,0.003618286884754547,0.64087747,-0.1545733511162864,NO
PSQ1,G1,5,ecm_5,0.5013738649506391,0.005122823490725771,0.64087747,-0.13950360504936088,NO
PSQ1,G1,6,ecm_6,0.5379272213318516,0.005229952052835632,0.64087747,-0.10295024866814839,NO
PSQ1,G1,7,ecm_7,0.5579602857542982,0.003563403061403814,0.64087747,-0.08291718424570171,NO
PSQ1,G1,8,ecm_8,0.559443139539604,0.005392072638813887,0.64087747,-0.08143433046039594,NO
PSQ1,G2,0,ecm_0,0.5145771311977609,0.0018648552514369647,0.64087747,-0.126300338802239,NO
PSQ1,G2,1,ecm_1,0.5155798796883875,0.0018926981254269132,0.64087747,-0.12529759031161247,NO
PSQ1,G2,2,ecm_2,0.516573893160648,0.0036360185478798057,0.64087747,-0.124303576839352,NO
PSQ1,G2,3,ecm_3,0.5175827262673164,0.003431458618737848,0.64087747,-0.12329474373268356,NO
PSQ1,G2,4,ecm_4,0.5185388827475563,0.0037284794369321066,0.64087747,-0.12233858725244362,NO
PSQ1,G2,5,ecm_5,0.5780523081093806,0.002354111968678307,0.64087747,-0.06282516189061937,NO
PSQ1,G2,6,ecm_6,0.6649838263417122,0.003012905138972636,0.67640967,-0.011425843658287804,NO
PSQ2,G,0,ecm_0,0.3603777125486775,0.001935066597569379,0.64443689,-0.28405917745132253,NO
PSQ2,G,1,ecm_1,0.4456196690230129,0.002003077680153132,0.64443689,-0.19881722097698712,NO
PSQ2,G,2,ecm_2,0.4646924785415639,0.003780894790887942,0.64443689,-0.17974441145843612,NO
PSQ2,G,3,ecm_3,0.48257156730330764,0.0036227847949120424,0.64443689,-0.1618653226966924,NO
PSQ2,G,4,ecm_4,0.4931490853566959,0.0036322904462071544,0.64443689,-0.15128780464330416,NO
PSQ2,G,5,ecm_5,0.49367171511891,0.0019755301454820727,0.64443689,-0.15076517488109004,NO
PSQ2,G,6,ecm_6,0.49375188654553054,0.0021071735206388453,0.64443689,-0.1506850034544695,NO
PSQ2,G,7,ecm_7,0.5008312225947584,0.0038242013772146017,0.64443689,-0.1436056674052416,NO
PSQ2,G,8,ecm_8,0.5198226406778014,0.0037432268696241913,0.64443689,-0.12461424932219867,NO
PSQ2,G,9,ecm_9,0.5220109874540134,0.003599743115880466,0.64443689,-0.12242590254598662,NO
PSQ2,G,10,ecm_10,0.5233296609815539,0.003527691457940142,0.64443689,-0.12110722901844617,NO
PSQ2,G,11,ecm_11,0.5916230698568121,0.015116792982345055,0.64443689,-0.05281382014318792,NO
PSQ2,G,12,ecm_12,0.6037326101432103,0.01825934466107993,0.64443689,-0.040704279856789705,NO
PSQ2,G,13,ecm_13,0.6542622938900968,0.003288848295786754,0.64443689,0.009825403890096784,NO
PSQ2,G,14,ecm_14,0.6562817613695767,0.0052358698945912776,0.64443689,0.011844871369576682,NO
PSQ3,F1,0,ecm_0,0.49651082878124875,0.001957079137510417,0.64787099,-0.1513601612187513,NO
PSQ3,F1,1,ecm_1,0.49889292067276264,0.0035639057493694333,0.64787099,-0.1489780693272374,NO
PSQ3,F1,2,ecm_2,0.5090399732146914,0.0036991281482214424,0.64787099,-0.13883101678530863,NO
PSQ3,F1,3,ecm_3,0.5210428803141006,0.001975571670163333,0.64787099,-0.12682810968589942,NO
PSQ3,F1,4,ecm_4,0.5285339705183362,0.002072250227815416,0.64787099,-0.11933701948166386,NO
PSQ3,F1,5,ecm_5,0.5742616328304556,0.0023241869391147705,0.64787099,-0.07360935716954442,NO
PSQ3,F2,0,ecm_0,0.49658284126709573,0.001946790812825543,0.64787099,-0.1512881487329043,NO
PSQ3,F2,1,ecm_1,0.4988171373749891,0.003582941174340741,0.64787099,-0.14905385262501092,NO
PSQ3,F2,2,ecm_2,0.5092276061145901,0.0036788919042739297,0.64787099,-0.13864338388540998,NO
PSQ3,F2,3,ecm_3,0.5190256437798134,0.0040803817992955144,0.64787099,-0.12884534622018662,NO
PSQ3,F2,4,ecm_4,0.5229894739762828,0.003682337075199124,0.64787099,-0.12488151602371722,NO
PSQ3,F2,5,ecm_5,0.5733961414107775,0.004671240650431997,0.64787099,-0.07447484858922249,NO
PSQ3,G,0,ecm_0,0.36038246436440574,0.0019242686842305366,0.64787099,-0.2874885256355943,NO
PSQ3,G,1,ecm_1,0.4451205292501252,0.002169379478782363,0.64787099,-0.20275046074987485,NO
PSQ3,G,2,ecm_2,0.4664289197162963,0.00367658943747088,0.64787099,-0.18144207028370374,NO
PSQ3,G,3,ecm_3,0.48563334707934913,0.0035947925272906676,0.64787099,-0.1622376429206509,NO
PSQ3,G,4,ecm_4,0.489045998972019,0.003725627544322502,0.64787099,-0.15882499102798103,NO
PSQ3,G,5,ecm_5,0.4971799485443173,0.0018864815593054762,0.64787099,-0.15069104145568274,NO
PSQ3,G,6,ecm_6,0.5041718511922199,0.0020033998917608604,0.64787099,-0.14369913880778018,NO
PSQ3,G,7,ecm_7,0.5095838952242865,0.0020084285452790663,0.64787099,-0.13828709477571355,NO
PSQ3,G,8,ecm_8,0.5101815241950806,0.0035752019228222146,0.64787099,-0.13768946580491948,NO
PSQ3,G,9,ecm_9,0.5151367123365782,0.0038236199761115175,0.64787099,-0.13273427766342183,NO
PSQ3,G,10,ecm_10,0.5364731531811169,0.003897814329904885,0.64787099,-0.11139783681888316,NO
PSQ3,G,11,ecm_11,0.5830043685041072,0.007593469654689616,0.64787099,-0.06486662149589284,NO
PSQ3,G,12,ecm_12,0.6379657555246596,0.006958429068294564,0.64787099,-0.009905234475340419,NO
